Time_s,Mean_MSD_um2,SEM,D_um2_per_s,R_Square
0,0,0,0.790474889680462,0.99753135128372
0.033333333333,0.097242206564677,0.0212797691135595,NaN,NaN
0.066666666667,0.172765129176224,0.0220334645745532,NaN,NaN
0.1,0.255866368286886,0.0227458974415783,NaN,NaN
0.133333333333,0.35227262985513,0.024361401674264,NaN,NaN
0.166666666667,0.452326711895677,0.0268037540393978,NaN,NaN
0.2,0.552527811967828,0.028896933460121,NaN,NaN
0.233333333333,0.650535953028938,0.030883606335709,NaN,NaN
0.266666666667,0.750115459973591,0.0335676077242565,NaN,NaN
0.3,0.851225236402257,0.0356122223095656,NaN,NaN
0.333333333333,0.948173878865641,0.0386411662305209,NaN,NaN
0.366666666667,1.04509299102506,0.0409773905944711,NaN,NaN
0.4,1.14080426486197,0.0443502993634262,NaN,NaN
0.433333333333,1.23353414426654,0.0459668076833615,NaN,NaN
0.466666666667,1.32822203618154,0.0492231128912325,NaN,NaN
0.5,1.42406213377217,0.0543079184394335,NaN,NaN
0.533333333333,1.51781881962993,0.0589476909168266,NaN,NaN
0.566666666667,1.6100360972643,0.0647108338751864,NaN,NaN
0.6,1.70580926716931,0.0714397979358023,NaN,NaN
0.633333333333,1.79960781151717,0.0779503778112092,NaN,NaN
0.666666666667,1.89543950169327,0.0854262266568009,NaN,NaN
0.7,1.99690752318502,0.0938310741317385,NaN,NaN
0.733333333333,2.10032831930558,0.102237552618958,NaN,NaN
0.766666666667,2.20475029516186,0.110091815793277,NaN,NaN
0.8,2.31293168091259,0.117665456799191,NaN,NaN
0.833333333333,2.415830407665,0.126556984199689,NaN,NaN
0.866666666667,2.52271511812046,0.135045066815536,NaN,NaN
0.9,2.63163906836023,0.142584680923415,NaN,NaN
0.933333333333,2.74335330652913,0.150328826275442,NaN,NaN
0.966666666667,2.85873669918071,0.1582757743363,NaN,NaN
1,2.97060279661737,0.166387661215804,NaN,NaN
1.033333333333,3.08540385586714,0.174354231579407,NaN,NaN
1.066666666667,3.2029666683167,0.182735665695554,NaN,NaN
1.1,3.32338585433516,0.191566496981823,NaN,NaN
1.133333333333,3.44248364978344,0.200543579607832,NaN,NaN
1.166666666667,3.56183882683872,0.210749953755414,NaN,NaN
1.2,3.68061701912729,0.22027212078937,NaN,NaN
1.233333333333,3.79731532381749,0.22996981819759,NaN,NaN
1.266666666667,3.91242413576186,0.239422567005117,NaN,NaN
1.3,4.02701647486787,0.24826847378594,NaN,NaN
1.333333333333,4.14163876670146,0.257360690925028,NaN,NaN
1.366666666667,4.25439435710957,0.265718819427353,NaN,NaN
1.4,4.36858337337703,0.274272482543721,NaN,NaN
1.433333333333,4.4833993729065,0.282519956868155,NaN,NaN
1.466666666667,4.5981368298696,0.290866509648447,NaN,NaN
1.5,4.71291244081088,0.299635488451256,NaN,NaN
1.533333333333,4.83068126718854,0.307084890366646,NaN,NaN
1.566666666667,4.9479339134022,0.313541383688555,NaN,NaN
1.6,5.06345350212902,0.320698224107965,NaN,NaN
1.633333333333,5.1791019393113,0.326778348050797,NaN,NaN
1.666666666667,5.2949797406374,0.333872111962067,NaN,NaN
1.7,5.41202133593678,0.341051716168229,NaN,NaN
1.733333333333,5.52892565094292,0.34775399955131,NaN,NaN
1.766666666667,5.6491711166695,0.354601088298293,NaN,NaN
1.8,5.7721524548257,0.360853915415245,NaN,NaN
1.833333333333,5.89569884957818,0.369114887551856,NaN,NaN
1.866666666667,6.0212719995581,0.377424040300099,NaN,NaN
1.9,6.14693276117418,0.386519187824375,NaN,NaN
1.933333333333,6.27339488415119,0.395957321588581,NaN,NaN
1.966666666667,6.39423201241535,0.40619995910619,NaN,NaN
2,6.51830199488269,0.416655506101426,NaN,NaN
