Time_s,Mean_MSD_um2,SEM,D_um2_per_s,V_um_per_s,R_Square
0,0,0,0.627920665549183,0.174085457838291,0.999711161979398
0.033333333333,0.0731688181182861,0.00215172470796726,NaN,NaN,NaN
0.066666666667,0.147266669532986,0.00412067383594587,NaN,NaN,NaN
0.1,0.227259661212786,0.00631963500571752,NaN,NaN,NaN
0.133333333333,0.315812310286608,0.00858008686004837,NaN,NaN,NaN
0.166666666667,0.407475243132465,0.011162928898456,NaN,NaN,NaN
0.2,0.496940888991933,0.0146924876845227,NaN,NaN,NaN
0.233333333333,0.588035151248756,0.0178007814629859,NaN,NaN,NaN
0.266666666667,0.679781380843504,0.0212367106341893,NaN,NaN,NaN
0.3,0.774037126770008,0.0247615402369715,NaN,NaN,NaN
0.333333333333,0.862773698883041,0.0277248909921519,NaN,NaN,NaN
0.366666666667,0.952216720604616,0.0304469086687341,NaN,NaN,NaN
0.4,1.03837293406743,0.0336664808086809,NaN,NaN,NaN
0.433333333333,1.12358700590429,0.0379603300530924,NaN,NaN,NaN
0.466666666667,1.20879412731854,0.0423129147150984,NaN,NaN,NaN
0.5,1.29080714428832,0.0471520023139344,NaN,NaN,NaN
0.533333333333,1.37156546362057,0.0523582230307236,NaN,NaN,NaN
0.566666666667,1.45155821968518,0.0576765018426978,NaN,NaN,NaN
0.6,1.52892519013022,0.0636365473593463,NaN,NaN,NaN
0.633333333333,1.60618774626481,0.0695525972527898,NaN,NaN,NaN
0.666666666667,1.68449749551734,0.0760066773957592,NaN,NaN,NaN
0.7,1.76645845276391,0.0829578602950699,NaN,NaN,NaN
0.733333333333,1.84993880373427,0.0903239431098456,NaN,NaN,NaN
0.766666666667,1.93498011473757,0.0975955919043497,NaN,NaN,NaN
0.8,2.01727467240519,0.105286153112054,NaN,NaN,NaN
0.833333333333,2.10000028680946,0.113889121328666,NaN,NaN,NaN
0.866666666667,2.18166344997901,0.121754102001422,NaN,NaN,NaN
0.9,2.26646180492278,0.129812874906634,NaN,NaN,NaN
0.933333333333,2.35201987283395,0.13787690608253,NaN,NaN,NaN
0.966666666667,2.4409177555141,0.146207563914333,NaN,NaN,NaN
1,2.5290087108083,0.153549640386399,NaN,NaN,NaN
1.033333333333,2.61875255188987,0.161155116435711,NaN,NaN,NaN
1.066666666667,2.70667717202029,0.168997931511227,NaN,NaN,NaN
1.1,2.79560097219431,0.177623795313961,NaN,NaN,NaN
1.133333333333,2.88450782961212,0.186528499400083,NaN,NaN,NaN
1.166666666667,2.9730965833571,0.196078484913863,NaN,NaN,NaN
1.2,3.05958764540978,0.205131764853725,NaN,NaN,NaN
1.233333333333,3.14764775309609,0.214357856372577,NaN,NaN,NaN
1.266666666667,3.23309653122101,0.223113317808769,NaN,NaN,NaN
1.3,3.31839839991401,0.231333308909329,NaN,NaN,NaN
1.333333333333,3.40260650856553,0.23904394884793,NaN,NaN,NaN
1.366666666667,3.48492620495876,0.246431588688576,NaN,NaN,NaN
1.4,3.56743782306024,0.254138423984616,NaN,NaN,NaN
1.433333333333,3.65019847584265,0.262183089838182,NaN,NaN,NaN
1.466666666667,3.72966386562325,0.270369274460716,NaN,NaN,NaN
1.5,3.81032527361391,0.278828289757543,NaN,NaN,NaN
1.533333333333,3.89558262572239,0.2873704171719,NaN,NaN,NaN
1.566666666667,3.98245903533995,0.294653619434876,NaN,NaN,NaN
1.6,4.06961061900534,0.30225122044558,NaN,NaN,NaN
1.633333333333,4.15980165525925,0.309828906546473,NaN,NaN,NaN
1.666666666667,4.25099519431309,0.317441321997985,NaN,NaN,NaN
1.7,4.34421658315961,0.325378724686194,NaN,NaN,NaN
1.733333333333,4.44032921670797,0.333857853468755,NaN,NaN,NaN
1.766666666667,4.53646879719769,0.342520373518422,NaN,NaN,NaN
1.8,4.63230121325491,0.351542243415677,NaN,NaN,NaN
1.833333333333,4.72380837478305,0.361930920880877,NaN,NaN,NaN
1.866666666667,4.81769518681532,0.371948249828051,NaN,NaN,NaN
1.9,4.9127124241653,0.381872659836281,NaN,NaN,NaN
1.933333333333,5.00668469961696,0.392616110453268,NaN,NaN,NaN
1.966666666667,5.09938199177439,0.403482114337249,NaN,NaN,NaN
2,5.19435266058322,0.414085683664112,NaN,NaN,NaN
